-9.72493	-1.37063	0.848484	-0.0135612	-0.000458149	0.00150098	-33.95	1.75	12.35	0.000229413	-0.00227081	0.00606767	0.999979	
-9.72493	-1.33799	0.848484	-0.0135612	-0.000458149	-0.000244346	-33.95	1.7	12.4	-0.00373388	-0.00660732	0.0091686	0.999929	
-9.72493	-1.33799	0.848484	-0.0135612	0.000414516	-0.00111701	-34	1.7	12.4	-0.0033611	-0.00405328	0.0084736	0.99995	
-9.72493	-1.33799	0.848484	-0.0135612	0.000414516	-0.00198968	-34	1.65	12.45	-0.00516574	-0.00387983	0.00731947	0.999952	
-9.72493	-1.33799	0.848484	-0.0135612	0.000414516	-0.003735	-34	1.6	12.45	-0.00681045	-0.00372278	0.00683093	0.999947	
-9.72493	-1.33799	0.848484	-0.0135612	0.00128718	-0.00548033	-34.05	1.6	12.5	-0.00803959	-0.00395885	0.00698755	0.999935	
-9.72493	-1.33799	0.848484	-0.0126885	0.00215984	-0.00809833	-34.05	1.6	12.5	-0.00892435	-0.00399456	0.00723951	0.999926	
-9.72493	-1.33799	0.848484	-0.0126885	0.00303251	-0.00897099	-34.1	1.55	12.5	-0.00998534	-0.00381841	0.00703617	0.999918	
-9.72493	-1.33799	0.848484	-0.0126885	0.00303251	-0.0107163	-34.1	1.55	12.55	-0.0109115	-0.00423377	0.00722614	0.999905	
-9.72493	-1.33799	0.848484	-0.0118159	0.00390517	-0.0124617	-34.1	1.55	12.55	-0.0116341	-0.00431155	0.00744788	0.999895	
-9.72493	-1.33799	0.848484	-0.0118159	0.00390517	-0.0133343	-34.1	1.55	12.55	-0.0122252	-0.00431449	0.00764525	0.999887	
-9.72493	-1.33799	0.848484	-0.0100705	0.00477784	-0.0133343	-34.1	1.5	12.55	-0.0131058	-0.00430613	0.00741183	0.999877	
-9.75757	-1.33799	0.848484	-0.00919788	0.00477784	-0.014207	-34.1	1.5	12.55	-0.0138484	-0.00428129	0.00756192	0.999866	
-9.75757	-1.33799	0.848484	-0.00745256	0.0056505	-0.014207	-34.1	1.5	12.55	-0.0144558	-0.00426299	0.00774976	0.999856	
-9.75757	-1.33799	0.848484	-0.00570723	0.0056505	-0.014207	-34.1	1.5	12.55	-0.0149672	-0.00424787	0.00792218	0.999848	
-9.75757	-1.33799	0.848484	-0.0039619	0.0056505	-0.014207	-34.1	1.5	12.55	-0.0154011	-0.00423531	0.00807131	0.99984	
-9.72493	-1.33799	0.848484	-0.00221657	0.0056505	-0.014207	-34.1	1.5	12.55	-0.0156696	-0.00423489	0.00815193	0.999835	
-9.72493	-1.33799	0.848484	0.000401426	0.00652317	-0.014207	-34.1	1.5	12.55	-0.0158927	-0.00422986	0.00822673	0.999831	
-9.72493	-1.37063	0.848484	0.00301942	0.00652317	-0.0133343	-34.1	1.5	12.55	-0.0155797	-0.00423975	0.00802876	0.999837	
-9.72493	-1.37063	0.848484	0.00389208	0.00739583	-0.0133343	-34.1	1.5	12.55	-0.0152845	-0.00424796	0.00790883	0.999843	
-9.72493	-1.37063	0.81585	0.00563741	0.00739583	-0.014207	-34.1	1.5	12.55	-0.0153586	-0.00415585	0.00792521	0.999842	
-9.72493	-1.37063	0.81585	0.00651008	0.0082685	-0.014207	-34.1	1.5	12.55	-0.0154154	-0.00413399	0.00794307	0.999841	
-9.72493	-1.37063	0.81585	0.00738274	0.00914116	-0.014207	-34.1	1.5	12.55	-0.0154602	-0.00412787	0.0079584	0.99984	
-9.72493	-1.40326	0.81585	0.00825541	0.00914116	-0.014207	-34.1	1.5	12.5	-0.0148551	-0.00367133	0.00765967	0.999854	
-9.72493	-1.40326	0.848484	0.00825541	0.0100138	-0.014207	-34.1	1.5	12.5	-0.0139788	-0.00368082	0.00734586	0.999869	
-9.72493	-1.40326	0.848484	0.00825541	0.0108865	-0.0150796	-34.1	1.5	12.5	-0.0132127	-0.00370032	0.0070807	0.999881	
-9.72493	-1.40326	0.848484	0.00738274	0.0117592	-0.0150796	-34.1	1.5	12.5	-0.0125444	-0.00371851	0.00685081	0.999891	
-9.72493	-1.40326	0.848484	0.00738274	0.0126318	-0.0150796	-34.1	1.5	12.5	-0.0119618	-0.00373414	0.00665076	0.999899	
-9.6923	-1.40326	0.81585	0.00651008	0.0126318	-0.0159523	-34.15	1.5	12.5	-0.0116579	-0.00348982	0.00650567	0.999905	
-9.6923	-1.4359	0.81585	0.00651008	0.0135045	-0.0159523	-34.15	1.5	12.5	-0.0109006	-0.00345595	0.00614582	0.999916	
-9.6923	-1.4359	0.81585	0.00563741	0.0143771	-0.0159523	-34.15	1.5	12.5	-0.0102243	-0.00346317	0.00589223	0.999924	
-9.6923	-1.4359	0.81585	0.00389208	0.0143771	-0.0159523	-34.15	1.5	12.5	-0.00963448	-0.00347713	0.00568555	0.999931	
-9.6923	-1.4359	0.81585	0.00301942	0.0152498	-0.0150796	-34.15	1.45	12.5	-0.00949325	-0.00349223	0.00510212	0.999936	
-9.6923	-1.4359	0.81585	0.00214675	0.0152498	-0.014207	-34.1	1.45	12.45	-0.00915542	-0.00319964	0.00489418	0.999941	
-9.6923	-1.4359	0.81585	0.000401426	0.0152498	-0.0124617	-34.1	1.45	12.45	-0.0088522	-0.00314117	0.00477322	0.999944	
-9.6923	-1.4359	0.81585	-0.000471239	0.0152498	-0.011589	-34.1	1.45	12.45	-0.00859101	-0.00313476	0.00468192	0.999947	
-9.6923	-1.4359	0.81585	-0.00221657	0.0152498	-0.00984366	-34.1	1.45	12.45	-0.00836929	-0.00313844	0.0046068	0.999949	
